RGIId,Name,Area,hf,bt,tau,feq,Zmin,Zmax,Zela,Lmax,linear_feq,etcw_feq,gwi_feq
RGI60-01.00003,,1.685,52.53267089948094,-1.3541666666666667,38.79335697192438,0.5308694915567206,1609,2182,1800,2106,0.5367507427455582,0.26020155162986186,0.23985941600911403
RGI60-01.00004,,3.681,64.4317698423093,-4.090859511343805,15.750179067172153,0.8051441057767154,1273,2317,1850,4175,0.8078842207750547,0.5457410183386443,0.5790367007330536
RGI60-01.00006,,10.47,191.42263808867077,-2.828861256544503,67.66773649496562,0.2914128255516759,1201,3547,1600,10518,0.29710505131103243,0.14354240914929794,0.10428050543063097
RGI60-01.00009,,1.517,62.927392430763206,-1.4179755671902268,44.37833336963362,0.4733322559752995,1750,2514,1950,2255,0.47947855378158016,0.2296329261398209,0.20012442870169825
RGI60-01.00011,,1.229,49.892230346323835,-2.0915139616055844,23.85460066832318,0.7051597946487018,1355,1947,1650,2636,0.7092738395118654,0.3953474185134043,0.4153786609006731
RGI60-01.00012,,2.802,57.32527671423254,-2.3538394415357766,24.353945176834287,0.6990431601206907,1318,2033,1650,3041,0.7032365219103172,0.38855305768711434,0.40717742069765067
RGI60-01.00013,Susitna Glacier,209.63,238.78511077565526,-6.217822862129145,38.40333120938878,0.5350784442764404,823,4003,1700,39197,0.540932557776305,0.2625793061696858,0.24302155589514182
RGI60-01.00016,,13.795,72.16952897861623,-3.2897033158813263,21.938005360608543,0.7287110542279753,1336,2593,1800,6292,0.7325106086519756,0.42375550809501045,0.4487961332841762
RGI60-01.00018,,1.659,57.9069034690568,-1.8079188481675392,32.02959221745477,0.6069220824016156,1495,2132,1750,2043,0.6121848132516009,0.3078608583408202,0.3037847707997979
RGI60-01.00019,,3.102,71.69688901196125,-1.3399869109947644,53.50566369244287,0.39106018264291825,1561,2144,1750,2691,0.3972528821945441,0.18975944682654475,0.15230245710441814
RGI60-01.00020,Eureka Glacier,34.046,132.96138520740874,-4.416993891797556,30.102234339585713,0.6296126271362833,1127,2660,1750,9459,0.6346399254202929,0.32469335200264826,0.3261522403643032
RGI60-01.00021,Maclaren Glacier,56.531,232.0324405801544,-5.019633507853403,46.22497642848448,0.4554886254015569,942,2584,1650,18292,0.461679567482588,0.2207090662518204,0.18896072693161153
RGI60-01.00022,,39.764,234.71275893825867,-6.494328097731239,36.141192038057696,0.559943185098745,884,2445,1800,16489,0.5656214771539899,0.27715364766144857,0.2625264350855037
RGI60-01.00025,,12.491,105.60089621059666,-4.119219022687609,25.63614501413346,0.6833845935947641,1069,2700,1650,8419,0.6877789145159827,0.37214542438219383,0.38703057378649014
RGI60-01.00027,McGinnis Glacier,13.29,127.46814231203253,-3.381871727748691,37.69159583024397,0.5428194687888561,1073,2985,1550,12349,0.5486228998264289,0.2670167628757918,0.2489399389166236
RGI60-01.00029,,6.45,0.01311762397761377,-2.3113001745200696,0.005675430704424872,0.9999297847547507,1474,2265,1800,4588,,,
RGI60-01.00030,,2.599,77.70905464545133,-2.360929319371728,32.91460443471923,0.5966346892475453,1317,3070,1650,4290,0.6019974974624498,0.30070760296283455,0.29420151773404235
RGI60-01.00031,,1.302,26.5969901297355,-3.3038830715532286,8.050221377002808,0.9004043397360934,1934,3105,2400,2122,0.9018050633277525,0.7588344213746152,0.7797742759940354
RGI60-01.00032,,14.205,143.26306712995572,-3.8214441535776613,37.48924787919035,0.5450342741985569,1411,3134,1950,11485,0.5508216934151418,0.26830174094782117,0.2506580050105702
RGI60-01.00033,,4.604,92.0297790817782,-3.1266361256544504,29.434118772780135,0.6375609717953389,1109,3160,1550,7589,0.6425011544593013,0.3309781595180035,0.33441748868254934
RGI60-01.00034,,2.101,41.41819464142367,-3.693826352530541,11.21281584150516,0.8612773857276725,1729,2995,2250,2673,0.8632283672559458,0.6658533985883119,0.694210670315782
RGI60-01.00035,,36.349,191.06999659624685,-3.7292757417102966,51.23514854619454,0.41013968068193485,1274,2928,1800,13500,0.41635816148510457,0.19876893868413886,0.16261824635360914
RGI60-01.00036,,3.798,80.24922275655844,-4.3390052356020945,18.494843495025837,0.7712034210764316,1288,2252,1900,3707,0.7744184336386196,0.48545711110139667,0.5170020343147068
RGI60-01.00037,Black Rapids Glacier,234.583,368.78216077609903,-7.288394415357766,50.598546093913136,0.41565305275000564,722,3081,1750,41911,0.4218751395026951,0.20139244757529257,0.1656788152903032
RGI60-01.00038,Trident Glacier,138.555,238.39262041484665,-6.37380017452007,37.401960194460756,0.5459915757080044,851,3857,1750,29601,0.5517724715085879,0.2688596639247246,0.25140422373491644
RGI60-01.00039,,8.106,93.40044173118933,-4.331915357766143,21.561003393970633,0.7333547434708451,1039,2280,1650,6170,0.7370912649331669,0.42981083267593057,0.4557433878858127
RGI60-01.00040,Nenana Glacier,27.448,175.82623778769104,-4.097949389179756,42.90590758683927,0.48798891182110404,972,2650,1550,15456,0.4940862543813885,0.23712985271010661,0.20967592051769743
RGI60-01.00041,Gillam Glacier,90.905,279.100361593192,-4.268106457242583,65.39208063088128,0.3053297013856381,948,3734,1550,26158,0.3111299258818808,0.14997506813344286,0.1104760520453146
RGI60-01.00042,Yanert Glacier,83.656,212.78974540540216,-4.0412303664921465,52.65469327602502,0.3981045115675275,830,3734,1400,34997,0.40430982994537007,0.1930747903367651,0.1560627874285059
RGI60-01.00044,Hayes Glacier,52.215,217.3988884249594,-4.147578534031414,52.41585822695668,0.4001044716433879,1015,4141,1600,19942,0.4063124981618323,0.19401815965579286,0.15714049661687007
RGI60-01.00045,,32.959,148.80625016970578,-5.827879581151833,25.533514908400946,0.6846351396823029,978,2658,1800,13482,0.6890127281586821,0.3734059612248478,0.3885957773668569
