case,RGIId,Name,Area,bt,hf,tau,feq,feq_linear,feq_gwi,feq_etcw,Zmin,Zmax,Zela,Lmax,aar,hyps_ela,hyps_aar
0.4,RGI60-01.00003,,1.685,-2.0631544502617802,52.53267089948094,25.462306466108444,0.6855031191940125,0.6898705968671379,0.3892240453914703,0.3741136369466873,1609,2182,1900.0,2106,,,
0.4,RGI60-01.00004,,3.681,-4.799847294938918,64.4317698423093,13.423712439820283,0.8339247887317875,0.8362603767171797,0.636439263907885,0.6045488123427407,1273,2317,1950.0,4175,,,
0.4,RGI60-01.00006,,10.47,-5.664812390924956,191.42263808867077,33.791522980589846,0.5865313896266535,0.5919872200144478,0.2841301263031749,0.2934564321210021,1201,3547,2000.0,10518,,,
0.4,RGI60-01.00009,,1.517,-1.7724694589877836,62.927392430763206,35.50266669570689,0.5670953686823289,0.5727175775516701,0.26734303938451015,0.2809862881224224,1750,2514,2000.0,2255,,,
0.4,RGI60-01.00011,,1.229,-2.4460078534031413,49.892230346323835,20.397412165667646,0.7477037914127176,0.7512444509518064,0.4777825812048713,0.44949417836043465,1355,1947,1700.0,2636,,,
0.4,RGI60-01.00012,,2.802,-3.06282722513089,57.32527671423254,18.716457867381905,0.7684644614154608,0.7717177125846351,0.5121486615366604,0.4810005370292977,1318,2033,1750.0,3041,,,
0.4,RGI60-01.00013,Susitna Glacier,209.63,-7.990292321116929,238.78511077565526,29.88440236968408,0.6321997459836318,0.6371988778091181,0.3280831000478269,0.3263893711614061,823,4003,1950.0,39197,,,
0.4,RGI60-01.00016,,13.795,-4.353184991273997,72.16952897861623,16.578557796941958,0.7948977697810831,0.7977817908981611,0.5595437023116516,0.5264618524331998,1336,2593,1950.0,6292,,,
0.4,RGI60-01.00018,,1.659,-2.162412739965096,57.9069034690568,26.778839394921196,0.6694987980324996,0.6740656109923165,0.36959264702036376,0.35846336160049463,1495,2132,1800.0,2043,,,
0.4,RGI60-01.00019,,3.102,-1.694480802792321,71.69688901196125,42.312010200300016,0.4940066931365921,0.5000794391430862,0.2122989250911397,0.23946046535976734,1561,2144,1800.0,2691,,,
0.4,RGI60-01.00020,Eureka Glacier,34.046,-5.4804755671902265,132.96138520740874,24.26092107834657,0.7001819269396399,0.7043602637130219,0.40829558339012567,0.38966253775443094,1127,2660,1900.0,9459,,,
0.4,RGI60-01.00021,Maclaren Glacier,56.531,-6.43760907504363,232.0324405801544,36.043263558774235,0.5610364036622834,0.5667066877599359,0.2623161686655144,0.2772487557918378,942,2584,1850.0,18292,,,
0.4,RGI60-01.00022,,39.764,-7.55780977312391,234.71275893825867,31.055658449212807,0.6183414975063252,0.6234887185623901,0.3140152337701699,0.31576779280343564,884,2445,1950.0,16489,,,
0.4,RGI60-01.00025,,12.491,-5.891688481675392,105.60089621059666,17.923706682565033,0.7782636076752416,0.7813800017850914,0.5292465483168671,0.497139878385944,1069,2700,1900.0,8419,,,
0.4,RGI60-01.00027,McGinnis Glacier,13.29,-6.217822862129145,127.46814231203253,20.50044607870738,0.7464323364197281,0.7499905564863681,0.4757595223866004,0.447679024777491,1073,2985,1950.0,12349,,,
0.4,RGI60-01.00029,,6.45,-3.0202879581151834,0.01311762397761377,0.004343169975686639,0.9999462672066871,,,,1474,2265,1900.0,4588,,,
0.4,RGI60-01.00030,,2.599,-5.196880453752182,77.70905464545133,14.953019477164398,0.8150052937640461,0.8176068790555902,0.5982130378924218,0.5651299838338598,1317,3070,2050.0,4290,,,
0.4,RGI60-01.00031,,1.302,-4.367364746945899,26.5969901297355,6.089940197537838,0.924656529734346,0.9257161734140247,0.8333690018966954,0.8175002913928415,1934,3105,2550.0,2122,,,
0.4,RGI60-01.00032,,14.205,-5.593913612565445,143.26306712995572,25.61052548400963,0.6836967179596152,0.6880866705845656,0.3869488877806381,0.37228188760359376,1411,3134,2200.0,11485,,,
0.4,RGI60-01.00033,,4.604,-6.671575043630018,92.0297790817782,13.794310710729054,0.8293399185988876,0.8317400343808975,0.6270271352902618,0.5947447385812598,1109,3160,2050.0,7589,,,
0.4,RGI60-01.00034,,2.101,-5.466295811518324,41.41819464142367,7.5770130394606845,0.9062587746148156,0.9075771634679715,0.7927001230834025,0.7729743088331729,1729,2995,2500.0,2673,,,
0.4,RGI60-01.00035,,36.349,-4.792757417102967,191.06999659624685,39.86640256700935,0.5194134834199791,0.5253619867015555,0.2301451149161193,0.25312959970034127,1274,2928,1950.0,13500,,,
0.4,RGI60-01.00036,,3.798,-4.693499127399651,80.24922275655844,17.09795199238038,0.788474149933327,0.7914480590322251,0.5476563811344938,0.5148498660242398,1288,2252,1950.0,3707,,,
0.4,RGI60-01.00037,Black Rapids Glacier,234.583,-8.351876090750435,368.78216077609903,44.1556072873877,0.4755250328738169,0.4816646903948506,0.20005559206512508,0.22988920439867241,722,3081,1900.0,41911,,,
0.4,RGI60-01.00038,Trident Glacier,138.555,-10.627726876090751,238.39262041484665,22.431195606951444,0.7226410472554697,0.7265223861355548,0.43959897155661015,0.41598074896584064,851,3857,2350.0,29601,,,
0.4,RGI60-01.00039,,8.106,-5.3953970331588135,93.40044173118933,17.311134131032926,0.78583786531316,0.7888486979202032,0.5428456349008811,0.5101894771918333,1039,2280,1800.0,6170,,,
0.4,RGI60-01.00040,Nenana Glacier,27.448,-6.93390052356021,175.82623778769104,25.357479125964314,0.6867813373227214,0.6911323505972816,0.3908431565117071,0.37542003755783204,972,2650,1950.0,15456,,,
0.4,RGI60-01.00041,Gillam Glacier,90.905,-6.395069808027923,279.100361593192,43.6430515962201,0.48060417755227236,0.4867272152113054,0.20336212697825384,0.23249234305534047,948,3734,1850.0,26158,,,
0.4,RGI60-01.00042,Yanert Glacier,83.656,-6.168193717277487,212.78974540540216,34.49790249118881,0.5784618604943856,0.583988375926387,0.2770339727677621,0.2881847150996576,830,3734,1700.0,34997,,,
0.4,RGI60-01.00044,Hayes Glacier,52.215,-6.983529668411867,217.3988884249594,31.130230520578337,0.6174636679580978,0.6226194939247429,0.3131465849957125,0.3151149267733925,1015,4141,2000.0,19942,,,
0.4,RGI60-01.00045,,32.959,-6.891361256544503,148.80625016970578,21.593157669450182,0.7329585707967012,0.7367004989636659,0.45488962122184473,0.42921233114974366,978,2658,1950.0,13482,,,
0.4,RGI60-01.00046,West Fork Glacier,193.423,-6.423429319371728,325.5859900442403,50.68725346791637,0.4148804646348607,0.4211028270147649,0.16358872510970945,0.20000480321978575,844,3472,1750.0,42681,,,
0.4,RGI60-01.00050,,1.283,-2.573625654450262,66.49013367852568,25.835200066315892,0.6809606275194031,0.6853850696274473,0.3835321794599022,0.36954020573306373,1687,2457,2050.0,2840,,,
0.4,RGI60-01.00065,,1.125,-1.8220986038394416,34.061238149189236,18.69341103572385,0.7687492838751107,0.7719986530149556,0.5126377268229743,0.4814579675659663,1593,2217,1850.0,1795,,,
0.4,RGI60-01.00066,,1.285,-1.9213568935427574,45.82508409928736,23.85037587409972,0.7052115846877013,0.7093246538377203,0.4150772890583583,0.39527845420830815,1629,2176,1900.0,1874,,,
0.4,RGI60-01.00068,,11.803,-4.81402705061082,100.65716557171525,20.909140001393123,0.7413905418833681,0.7450174152244495,0.467828738714219,0.440605899971021,1071,2329,1750.0,6015,,,
