tau,bt,hh,RGIId,GLIMSId,CenLon,CenLat,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,TermType,Surging,Linkages,Name,delz,Zela,abl_area,accu_area,hf_method,hf
38.79335697192438,-1.3541666666666667,-27.760360278298595,RGI60-01.00003,G213920E63376N,-146.08,63.376,2,1.685,1609,2182,1868,18.0,175,2106,0,9,9,,573,1800,0.674,1.011,hf_millan,52.53267089948094
15.750179067172153,-4.090859511343805,139.0983764754631,RGI60-01.00004,G213880E63381N,-146.12,63.381,2,3.681,1273,2317,1944,19.0,195,4175,0,9,9,,1044,1850,1.4724000000000002,2.2086,hf_millan,64.4317698423093
67.66773649496562,-2.828861256544503,-2355.321213031299,RGI60-01.00006,G213756E63571N,-146.244,63.571,2,10.47,1201,3547,1740,22.0,33,10518,0,9,9,,2346,1600,4.188000000000001,6.282,hf_millan,191.42263808867077
44.37833336963362,-1.4179755671902268,-27.760360278298595,RGI60-01.00009,G212400E63659N,-147.6,63.659,2,1.517,1750,2514,1977,18.0,274,2255,0,9,9,,764,1950,0.6068,0.9101999999999999,hf_millan,62.927392430763206
23.85460066832318,-2.0915139616055844,-21.684762765535744,RGI60-01.00011,G213364E63349N,-146.636,63.349,2,1.229,1355,1947,1714,17.0,219,2636,0,9,9,,592,1650,0.49160000000000004,0.7374,hf_millan,49.892230346323835
24.353945176834287,-2.3538394415357766,-21.684762765535744,RGI60-01.00012,G213349E63366N,-146.651,63.366,2,2.802,1318,2033,1725,17.0,283,3041,0,9,9,,715,1650,1.1208,1.6812,hf_millan,57.32527671423254
38.40333120938878,-6.217822862129145,49.61759183262852,RGI60-01.00013,G213316E63499N,-146.684082031,63.499328613,2,209.63,823,4003,1848,13.0,239,39197,0,3,9,Susitna Glacier,3180,1700,83.852,125.77799999999999,hf_millan,238.78511077565526
21.938005360608543,-3.2897033158813263,22.835626252695253,RGI60-01.00016,G212442E63675N,-147.557891846,63.675205231,2,13.795,1336,2593,1890,20.0,331,6292,0,9,9,,1257,1800,5.518000000000001,8.277,hf_millan,72.16952897861623
32.02959221745477,-1.8079188481675392,139.0983764754631,RGI60-01.00018,G213367E63383N,-146.633,63.383,2,1.659,1495,2132,1808,19.0,283,2043,0,9,9,,637,1750,0.6636000000000001,0.9954,hf_millan,57.9069034690568
53.50566369244287,-1.3399869109947644,21.04534800285778,RGI60-01.00019,G212473E63538N,-147.527,63.538,2,3.102,1561,2144,1779,14.0,169,2691,0,9,9,,583,1750,1.2408000000000001,1.8611999999999997,hf_millan,71.69688901196125
30.102234339585713,-4.416993891797556,32.05915172849031,RGI60-01.00020,G213639E63357N,-146.361,63.357,2,34.046,1127,2660,1844,15.0,174,9459,0,2,9,Eureka Glacier,1533,1750,13.618400000000001,20.427599999999998,hf_millan,132.96138520740874
46.22497642848448,-5.019633507853403,-38.85338941905444,RGI60-01.00021,G213394E63405N,-146.606262207,63.404830933,2,56.531,942,2584,1781,12.0,192,18292,0,2,9,Maclaren Glacier,1642,1650,22.6124,33.9186,hf_millan,232.0324405801544
36.141192038057696,-6.494328097731239,-20.847880707451914,RGI60-01.00022,G213322E63434N,-146.678,63.434,2,39.764,884,2445,1904,11.0,278,16489,0,9,9,,1561,1800,15.905600000000002,23.8584,hf_millan,234.71275893825867
25.63614501413346,-4.119219022687609,-21.684762765535744,RGI60-01.00025,G213769E63384N,-146.230651855,63.383995056,2,12.491,1069,2700,1831,17.0,119,8419,0,9,9,,1631,1650,4.9964,7.494599999999999,hf_millan,105.60089621059666
