,dbdz [m km],N obs,N years,Years evaluated,Elevations evaluated (dz),Glacier elevation (dz)
Black Rapids Glacier,6.37,235,45,1972-2016,896-2228 (1332),722-3081 (2359)
Columbia Glacier,6.42,38,3,1978-2011,140-1464 (1324),0-3693 (3693)
East Yakutat Glacier,6.46,47,3,2009-2011,105-677 (572),28-1669 (1641)
Eklutna Glacier,6.88,35,8,2008-2015,1122-1543 (421),543-2050 (1507)
Exit Glacier,7.81,32,7,2011-2017,867-1290 (423),122-1604 (1482)
Gilkey Glacier,6.40,6,3,2012-2014,236-1502 (1266),107-2359 (2252)
Gulkana Glacier,7.77,212,54,1966-2019,1260-2031 (771),1162-2438 (1276)
Kahiltna Glacier,3.25,9,1,2011-2011,790-1396 (605),264-5134 (4870)
Lemon Creek Glacier,10.48,40,6,2014-2019,818-1238 (420),676-1494 (818)
Mendenhall Glacier,9.90,52,11,1997-2010,101-1574 (1473),94-1966 (1872)
Wolverine Glacier,7.47,191,54,1966-2019,545-1373 (828),426-1636 (1210)
